year,state,category,heat_wave_deaths,source
2022,Haryana,State,27,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Himachal Pradesh,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Himachal Pradesh,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Himachal Pradesh,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Himachal Pradesh,State,1,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Himachal Pradesh,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Jharkhand,State,42,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Jharkhand,State,88,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Jharkhand,State,23,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Jharkhand,State,33,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Jharkhand,State,47,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Karnataka,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Karnataka,State,4,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Karnataka,State,1,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Karnataka,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Karnataka,State,2,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Kerala,State,1,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Kerala,State,3,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Kerala,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Kerala,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Kerala,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Madhya Pradesh,State,15,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Madhya Pradesh,State,33,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Madhya Pradesh,State,7,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Madhya Pradesh,State,2,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Madhya Pradesh,State,27,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Maharashtra,State,128,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Maharashtra,State,159,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Maharashtra,State,56,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Maharashtra,State,37,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Maharashtra,State,90,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Manipur,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Manipur,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Manipur,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Manipur,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Manipur,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Meghalaya,State,4,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Meghalaya,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Meghalaya,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Meghalaya,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Meghalaya,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Mizoram,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Mizoram,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Mizoram,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Mizoram,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Mizoram,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Nagaland,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2019,Nagaland,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2020,Nagaland,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2021,Nagaland,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2022,Nagaland,State,0,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
2018,Odisha,State,40,"Government of India, Ministry of Home Affairs / National Disaster Management Division -- Rajya Sabha, Session 266, Answer to Unstarred Question No. 359 part (i), ""Deaths due to heat wave"" (state/UT-wise, 2018-2022), tabled in Parliament. As shared by the HeatSentinal team (RS_Session_266_AU_359_A_i.csv)."
